Time,Crosshead separation,Load,Extensometer elongation
(sec),(mm),(kN),(%)
8.118,2.3066,35.32305,0.078
8.136,2.3128,35.43209,0.07852
8.154,2.319,35.54097,0.07902
8.172,2.32516,35.6489,0.07953
8.19,2.33136,35.75633,0.08004
8.208,2.33752,35.86391,0.08053
8.226,2.34372,35.97235,0.08101
8.244,2.34988,36.08228,0.08151
8.262,2.35608,36.19314,0.08205
8.28,2.36224,36.30224,0.08255
8.298,2.36836,36.4109,0.08307
8.316,2.37452,36.51841,0.08359
8.334,2.38064,36.6256,0.08409
8.352,2.38672,36.73387,0.0846
8.37,2.39284,36.84187,0.08513
8.388,2.39888,36.94988,0.08565
8.406,2.40496,37.05787,0.08615
8.424,2.41104,37.16483,0.08666
8.442,2.41712,37.27019,0.08715
8.46,2.42316,37.3758,0.08762
8.478,2.42924,37.48157,0.0881
8.496,2.43524,37.58764,0.08864
8.514,2.44124,37.69295,0.0892
8.532,2.44724,37.79732,0.08974
8.55,2.45324,37.90256,0.09026
8.568,2.45924,38.00735,0.09078
8.586,2.4652,38.11088,0.09126
8.604,2.47116,38.21384,0.09177
8.622,2.47712,38.31699,0.09227
8.64,2.48308,38.42182,0.09276
8.658,2.48904,38.52679,0.09328
8.676,2.49496,38.63181,0.09379
8.694,2.50084,38.73578,0.09432
8.712,2.50676,38.83844,0.09483
8.73,2.5126,38.94046,0.09535
8.748,2.51848,39.04283,0.09586
8.766,2.52436,39.14697,0.09639
8.784,2.5302,39.2518,0.09691
8.802,2.536,39.35539,0.09746
8.82,2.54184,39.45935,0.09802
8.838,2.54764,39.56177,0.09859
8.856,2.5534,39.66263,0.09917
8.874,2.55916,39.76279,0.09973
8.892,2.56492,39.86315,0.10027
8.912,2.57128,39.97402,0.10081
8.93,2.577,40.07434,0.10133
8.948,2.58272,40.17503,0.10184
8.968,2.58908,40.28575,0.10239
8.988,2.5954,40.39585,0.103
9.008,2.60172,40.50433,0.10361
9.028,2.60804,40.61114,0.10418
9.048,2.61436,40.71954,0.10471
9.068,2.62068,40.82969,0.10527
9.088,2.62696,40.9381,0.10584
9.108,2.6332,41.04517,0.10643
9.128,2.63944,41.15084,0.107
9.148,2.64564,41.25611,0.1076
9.168,2.6518,41.35976,0.10819
9.188,2.658,41.46413,0.10878
9.208,2.66412,41.56883,0.10934
9.228,2.67028,41.67451,0.10995
9.248,2.67644,41.77997,0.11056
9.268,2.68256,41.88452,0.11117
9.288,2.68868,41.98859,0.11181
9.308,2.69476,42.09139,0.11238
9.328,2.70084,42.19335,0.11297
9.348,2.70692,42.29511,0.11359
9.368,2.71296,42.3964,0.11424
9.388,2.719,42.49699,0.11487
9.41,2.72556,42.6059,0.11563
9.432,2.73212,42.71262,0.11638
9.454,2.73872,42.81937,0.11708
9.476,2.74528,42.9264,0.11777
9.498,2.7518,43.0315,0.11848
9.52,2.75828,43.13663,0.11918
9.542,2.76468,43.24063,0.11992
9.564,2.77108,43.34249,0.12065
9.588,2.778,43.45073,0.12142
9.612,2.78492,43.55842,0.12216
9.636,2.79176,43.66454,0.12287
9.66,2.7986,43.77147,0.1236
9.684,2.80544,43.87731,0.12437
9.708,2.81224,43.9832,0.12514
9.732,2.81904,44.08802,0.12586
9.756,2.82576,44.18991,0.12659
9.78,2.83248,44.28997,0.12734
9.806,2.83972,44.39725,0.12813
9.832,2.84696,44.50373,0.12894
9.858,2.85412,44.6093,0.12974
9.884,2.86128,44.71298,0.13054
9.91,2.86844,44.81501,0.13137
9.938,2.87612,44.92196,0.13223
9.966,2.88376,45.02818,0.13303
9.994,2.89136,45.13021,0.13386
10.024,2.89948,45.23557,0.1347
10.054,2.90756,45.33658,0.13556
10.086,2.9162,45.44158,0.13642
10.118,2.92476,45.54316,0.13731
10.152,2.93384,45.64809,0.13841
10.186,2.94288,45.75253,0.13954
10.222,2.95232,45.85595,0.14077
10.262,2.96268,45.96042,0.14214
10.304,2.97348,46.06427,0.14366
10.348,2.98468,46.16518,0.1453
10.396,2.99676,46.26624,0.14713
10.456,3.01156,46.36895,0.14945
10.524,3.0284,46.47086,0.14919
10.576,3.0416,46.57175,0.15036
10.668,3.06392,46.67234,0.15498
10.768,3.08672,46.73594,0.16004
10.868,3.10768,46.73958,0.16523
10.968,3.12696,46.73031,0.17025
11.068,3.14464,46.70859,0.17521
11.168,3.16072,46.69319,0.17993
11.268,3.17536,46.69252,0.18448
11.368,3.18876,46.69914,0.18866
11.468,3.20128,46.71885,0.19274
11.568,3.21272,46.74105,0.19665
11.668,3.22344,46.75986,0.19988
11.768,3.23388,46.7947,0.20282
11.868,3.24368,46.82862,0.20632
11.968,3.2528,46.85431,0.20977
12.068,3.2614,46.88208,0.21315
12.168,3.26944,46.90531,0.21637
12.268,3.27712,46.93024,0.21938
12.368,3.28444,46.95543,0.22251
12.468,3.29136,46.97565,0.22558
12.568,3.29796,46.99421,0.22848
12.668,3.30432,47.01637,0.23129
12.768,3.31044,47.03798,0.23418
12.868,3.31636,47.05993,0.23692
